HGNC ID	RefSeqAcc	RefSeq	Canonical transcript	Approved symbol	NCBI gene ID	Ensembl gene ID
HGNC:11067	NM_014270	NP_055085	ENST00000023064	SLC7A9	11136	ENSG00000021488
HGNC:16392	NM_020896	NP_065947	ENST00000263650	OSBPL5	114879	ENSG00000021762
HGNC:29513	NM_014691	NP_055506	ENST00000156471	AQR	9716	ENSG00000021776
HGNC:2323	NM_001875	NP_001866	ENST00000233072	CPS1	1373	ENSG00000021826
HGNC:3702	NM_001159699	NP_001153171	ENST00000370683	FHL1	2273	ENSG00000022267
HGNC:4075	NM_001127644	NP_001121116	ENST00000393943	GABRA1	2554	ENSG00000022355
HGNC:10055	NM_014868	NP_055683	ENST00000325954	RNF10	9921	ENSG00000022840
HGNC:19160	NM_022494	NP_071939	ENST00000369405	ZDHHC6	64429	ENSG00000023041
HGNC:10074	NM_203387	NP_976321	ENST00000354420	RNH1	6050	ENSG00000023191
HGNC:7707	NM_005006	NP_004997	ENST00000233190	NDUFS1	4719	ENSG00000023228
HGNC:15574	NM_014781	NP_055596	ENST00000025008	RB1CC1	9821	ENSG00000023287
HGNC:18311	NM_015051	NP_055866	ENST00000262455	ERP44	23071	ENSG00000023318
HGNC:396	NM_000688	NP_000679	ENST00000484952	ALAS1	211	ENSG00000023330
HGNC:369	NM_016248	NP_057332	ENST00000025301	AKAP11	11215	ENSG00000023516
HGNC:11134	NM_003082	NP_003073	ENST00000216294	SNAPC1	6617	ENSG00000023608
HGNC:24269	NM_015954	NP_057038	ENST00000428559	DERA	51071	ENSG00000023697
HGNC:30796	NM_007178	NP_009109	ENST00000419869	STRAP	11171	ENSG00000023734
HGNC:2760	NM_022047	NP_071330	ENST00000316637	DEF6	50619	ENSG00000023892
HGNC:24310	NM_016274	NP_057358	ENST00000369124	PLEKHO1	51177	ENSG00000023902
HGNC:4312	NM_002061	NP_002052	ENST00000370238	GCLM	2730	ENSG00000023909
HGNC:3243	NM_014601	NP_055416	ENST00000263277	EHD2	30846	ENSG00000024422
HGNC:22949	NM_001114120	NP_001107592	ENST00000456315	DEPDC1	55635	ENSG00000024526
HGNC:19903	NM_021244	NP_067067	ENST00000369415	RRAGD	58528	ENSG00000025039
HGNC:5225	NM_004506	NP_004497	ENST00000368455	HSF2	3298	ENSG00000025156
HGNC:16098	NM_016436	NP_057520	ENST00000374012	PHF20	51230	ENSG00000025293
HGNC:23316	NM_003725	NP_003716	ENST00000322165	HSD17B6	8630	ENSG00000025423
HGNC:7966	NM_005693	NP_005684	ENST00000441012	NR1H3	10062	ENSG00000025434
HGNC:25071	NM_152299	NP_689512	ENST00000420993	NCAPH2	29781	ENSG00000025770
HGNC:15746	NM_006809	NP_006800	ENST00000372813	TOMM34	10953	ENSG00000025772
HGNC:21082	NM_007214	NP_009145	ENST00000369002	SEC63	11231	ENSG00000025796
HGNC:6399	NM_012316	NP_036448	ENST00000373625	KPNA6	23633	ENSG00000025800
HGNC:12692	NM_003380	NP_003371	ENST00000544301	VIM	7431	ENSG00000026025
HGNC:11920	NM_000043	NP_000034	ENST00000652046	FAS	355	ENSG00000026103
HGNC:6248	NM_002237	NP_002228	ENST00000371571	KCNG1	3755	ENSG00000026559
HGNC:20885	NM_020133	NP_064518	ENST00000320285	AGPAT4	56895	ENSG00000026652
HGNC:1138	NM_007048	NP_008979	ENST00000289361	BTN3A1	11119	ENSG00000026950
HGNC:7104	NM_005932	NP_005923	ENST00000382172	MIPEP	4285	ENSG00000027001
HGNC:6093	NM_014215	NP_055030	ENST00000368195	INSRR	3645	ENSG00000027644
HGNC:930	NM_007255	NP_009186	ENST00000029410	B4GALT7	11285	ENSG00000027847
HGNC:11917	NM_001066	NP_001057	ENST00000376259	TNFRSF1B	7133	ENSG00000028137
HGNC:18258	NM_017599	NP_060069	ENST00000436874	VEZT	55591	ENSG00000028203
HGNC:25818	NM_023924	NP_076413	ENST00000467963	BRD9	65980	ENSG00000028310
